scenario,label,metric,low_var,high_var,low_t1,high_t1,diff_t1,low_t4,high_t4,diff_t4,low_t8,high_t8,diff_t8,low_t12,high_t12,diff_t12
scenario_04_risk_and_transfer,Risk premium plus transfer buffer,Labor demand,n1,n2,-0.000760998874488952,-0.000791852973432275,-3.08540989433226e-05,-0.000355716598551839,-0.000353331449889707,2.3851486621318e-06,-0.000167164999430688,-0.000146676006521851,2.04889929088375e-05,-5.55550749901934e-06,-1.9445285374689e-05,-1.38897778756697e-05
scenario_04_risk_and_transfer,Risk premium plus transfer buffer,Real wage,w1,w2,-0.0533294084533669,-0.0540413788080101,-0.00071197035464321,-0.0163387450853629,-0.0163437653421461,-5.02025678317253e-06,-0.00426793732231578,-0.00393641249302368,0.000331524829292107,-0.00214959210897891,-0.00235143812983596,-0.000201846020857044
scenario_04_risk_and_transfer,Risk premium plus transfer buffer,Consumption,c1,c2,-0.00274325257167618,-0.00275621864721254,-1.29660755363581e-05,-0.000700345666517443,-0.000703412462343844,-3.06679582640079e-06,-9.80643372049395e-05,-9.90252789139223e-05,-9.60941708982865e-07,-0.000139289775965334,-0.000137086846754841,2.20292921049303e-06
scenario_04_risk_and_transfer,Risk premium plus transfer buffer,Inflation,pinf1,pinf2,-0.00436340130041846,-0.00438405456958446,-2.06532691660044e-05,-0.00135919188868427,-0.0013345644399545,2.46274487297748e-05,-0.000191217545106426,-0.000200813244320197,-9.59569921377135e-06,8.85123887499617e-05,6.85734965524265e-05,-1.99388921975352e-05
scenario_05_strong_io,Stronger input-output linkages,Local bond rate,rb1,rb2,2.84171398015065e-05,2.84171398015065e-05,0,-0.00076081751422441,-0.00076081751422441,0,-0.000376037996917988,-0.000376037996917988,0,0.000199748149622758,0.000199748149622758,0
scenario_05_strong_io,Stronger input-output linkages,Central transfer,z1,z2,0,0,0,0,0,0,0,0,0,0,0,0
scenario_05_strong_io,Stronger input-output linkages,Debt service pressure,ds1,ds2,0.00171619641800788,0.00431054381656562,0.00259434739855773,0.000341547939710147,0.000932761841383859,0.000591213901673712,-0.000349121413533152,-0.000644368530840022,-0.000295247117306871,-0.000175621041395541,-0.000215273683645474,-3.96526422499328e-05
scenario_05_strong_io,Stronger input-output linkages,Fiscal space,fs1,fs2,-0.00228957824268002,-0.00490503565764461,-0.00261545741496459,-0.000911068316195293,-0.0015491319532968,-0.000638063637101505,0.000200206196555336,0.000424814906141283,0.000224608709585947,0.000217110623383712,0.000145626090161916,-7.14845332217967e-05
scenario_05_strong_io,Stronger input-output linkages,Public investment,ig1,ig2,-0.00124837849656467,-0.00151468877658044,-0.000266310280015766,-0.00375800513718531,-0.00418925262686128,-0.000431247489675962,-0.00123275589277741,-0.00174436963273165,-0.000511613739954245,0.00103152122067042,0.000255285356596635,-0.000776235864073785
scenario_05_strong_io,Stronger input-output linkages,Public capital,kg1,kg2,-0.00124837849656467,-0.00151468877658045,-0.00026631028001578,-0.0107188332029287,-0.012201689907358,-0.00148285670442938,-0.0190071064394832,-0.0220947921919348,-0.00308768575245155,-0.015653905054934,-0.021092379413338,-0.00543847435840394
scenario_05_strong_io,Stronger input-output linkages,Intermediate output,ym1,ym2,-0.00377667263500991,-0.00386575370421038,-8.90810692004695e-05,-0.0038178439947415,-0.00394577648285155,-0.00012793248811005,-0.00113022713978461,-0.00128928203207435,-0.000159054892289734,3.2957002361389e-05,-0.000231559414363813,-0.000264516416725202
scenario_05_strong_io,Stronger input-output linkages,Final output,y1,y2,-0.00367647672555316,-0.00396594961366714,-0.000289472888113984,-0.00365171743989845,-0.00411190303769449,-0.000460185597796037,-0.00095483202595803,-0.00146467714590104,-0.000509845119943009,0.000266027760158272,-0.000464630172160696,-0.000730657932318968
scenario_05_strong_io,Stronger input-output linkages,Private investment,inv1,inv2,-0.000552844571303834,-0.000569312623847573,-1.64680525437388e-05,0.000280437058496952,0.000253136323749903,-2.73007347470489e-05,0.000455694640121129,0.000458489257972927,2.79461785179791e-06,-0.000421442510966263,-0.000366169274489514,5.52732364767494e-05
scenario_05_strong_io,Stronger input-output linkages,Labor demand,n1,n2,-0.000800254325784858,-0.000819130071146618,-1.887574536176e-05,-0.000752100170717487,-0.000771456907542378,-1.93567368248909e-05,-0.000128240794824291,-0.000143253249572303,-1.50124547480118e-05,0.000108102678118033,8.40145236868234e-05,-2.40881544312094e-05
scenario_05_strong_io,Stronger input-output linkages,Real wage,w1,w2,-0.0411804843146175,-0.0415977807612,-0.000417296446582505,-0.0152604472347919,-0.015611217635032,-0.000350770400240119,-0.0047876060426324,-0.00505605235214457,-0.000268446309512171,-0.00325403687404391,-0.00380357128262121,-0.000549534408577301
scenario_05_strong_io,Stronger input-output linkages,Consumption,c1,c2,-0.00187525365768471,-0.00188194821323917,-6.69455555446508e-06,-0.000174149361210074,-0.000175786734583072,-1.63737337299796e-06,-0.000177770773301833,-0.000178796771142409,-1.02599784057578e-06,-0.000344050949546038,-0.000353746254267873,-9.69530472183511e-06
scenario_05_strong_io,Stronger input-output linkages,Inflation,pinf1,pinf2,-0.00421082136731399,-0.00422777888226333,-1.69575149493451e-05,-0.00141151133810702,-0.00141263768294109,-1.12634483406815e-06,-3.31885198057158e-06,-1.80155784290648e-06,1.5172941376651e-06,0.000187883838750791,0.000192556931134069,4.67309238327829e-06
