scenario,label,debt_ratio,metric,horizon,low_irf,high_irf,diff_irf
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,34,6.92738309263502e-05,6.92738309263918e-05,4.16333634234434e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,35,4.81809243099429e-05,4.81809243099846e-05,4.16333634234434e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,36,3.04115260705423e-05,3.04115260705701e-05,2.77555756156289e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,37,1.5693004769099e-05,1.56930047691267e-05,2.77555756156289e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,38,3.72201408456452e-06,3.72201408459227e-06,2.77555756156289e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,39,-5.81608082356189e-06,-5.81608082353413e-06,2.77555756156289e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,40,-1.32316062317756e-05,-1.32316062317478e-05,2.77555756156289e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,1,-0.00127772007262639,-0.00127772007262639,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,2,-0.00386344581609466,-0.00386344581609466,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,3,-0.00728932187344444,-0.00728932187344444,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,4,-0.0109432835279195,-0.0109432835279195,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,5,-0.0142771403542281,-0.0142771403542281,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,6,-0.0169075433165666,-0.0169075433165666,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,7,-0.0186400335164985,-0.0186400335164985,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,8,-0.0194460427144612,-0.0194460427144612,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,9,-0.0194175103954524,-0.0194175103954519,4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,10,-0.0187168001699614,-0.0187168001699614,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,11,-0.0175327536541938,-0.0175327536541938,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,12,-0.0160480492770034,-0.0160480492770034,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,13,-0.0144189402183685,-0.0144189402183685,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,14,-0.0127659140322929,-0.0127659140322929,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,15,-0.0111725917536689,-0.0111725917536694,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,16,-0.00968991267676511,-0.00968991267676556,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,17,-0.00834297620286062,-0.00834297620286106,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,18,-0.00713853214678295,-0.00713853214678339,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,19,-0.00607180278552377,-0.00607180278552466,-8.88178419700125e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,20,-0.00513194223788638,-0.00513194223788682,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,21,-0.00430591994654428,-0.00430591994654517,-8.88178419700125e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,22,-0.00358093581321572,-0.00358093581321617,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,23,-0.00294564928233987,-0.00294564928234031,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,24,-0.00239056517347702,-0.00239056517347747,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,25,-0.00190790227925586,-0.00190790227925675,-8.88178419700125e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,26,-0.00149121076863912,-0.00149121076863956,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,27,-0.00113492825166617,-0.00113492825166661,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,28,-0.000833990483739555,-0.000833990483739999,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,29,-0.000583551693592366,-0.00058355169359281,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,30,-0.000378825632784796,-0.00037882563278524,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,31,-0.000215031471233473,-0.000215031471233917,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,32,-8.74158315307128e-05,-8.74158315311568e-05,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,33,8.68029018663563e-06,8.68029018619154e-06,-4.44089209850063e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,34,7.77371138580563e-05,7.77371138580563e-05,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,35,0.000123974610321653,0.000123974610321653,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,36,0.000151286771134185,0.000151286771134185,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,37,0.000163197606624976,0.000163197606624976,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,38,0.000162839680543758,0.000162839680543758,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,39,0.000152952607706425,0.000152952607706425,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,40,0.000135897186282374,0.000135897186282374,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,1,-0.00379020222463167,-0.00379020222463167,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,2,-0.00419768369877993,-0.00419768369877982,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,3,-0.00419007783000991,-0.00419007783000991,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,4,-0.00382080583429889,-0.00382080583429889,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,5,-0.00321110695801707,-0.00321110695801707,0
