scenario,label,rho_z,psi_z,phi_z_ds,phi_z_b,horizon,z1,z2,b1,b2,debt_ratio1,debt_ratio2,ds1,ds2,fs1,fs2,ig1,ig2,kg1,kg2,y1,y2,c1,c2,pinf1,pinf2,z_gap,debt_ratio_gap,ds_gap,fs_gap,ig_gap,kg_gap,y_gap,c_gap,pinf_gap
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,21,0,0,-0.0209246505682968,-0.0366889919140215,-0.0209639050586234,-0.0354947379475555,-0.00020060534145274,-0.000347104255407134,0.000219836076613036,0.000120316633492337,0.00261256361234895,0.00117482522065181,-0.0174242197351622,-0.0479766196428972,9.81362258165586e-05,-0.001194253966466,-0.00078459521352392,-0.000869834155102223,3.67869987381031e-05,0.000102345341007393,0,-0.0145308328889321,-0.000146498913954394,-9.95194431206992e-05,-0.00143773839169714,-0.0305523999077351,-0.00129239019228256,-8.52389415783028e-05,6.55583422692896e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,22,0,0,-0.0187203285564444,-0.0356728677977858,-0.0187379609366198,-0.0345643978771857,-0.000187926229462921,-0.000363489483860092,0.000196564314700637,0.000152992165604673,0.0024008863265528,0.0011691162818404,-0.0145877279152304,-0.0456080878699847,4.40809504385076e-05,-0.0011084699206001,-0.000750512441674789,-0.000858599240019076,5.83011993238181e-05,0.000120790224202194,0,-0.0158264369405659,-0.000175563254397171,-4.35721490959634e-05,-0.00123177004471241,-0.0310203599547543,-0.0011525508710386,-0.000108086798344287,6.2489024878376e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,23,0,0,-0.0166882966180679,-0.0346737941514315,-0.0166889809492607,-0.0336537693125021,-0.000173365000387009,-0.000369294540191837,0.000173700253547418,0.000175592853607215,0.00220573219192367,0.00117466649996158,-0.0120173025254262,-0.0432932191732736,1.71082798217093e-06,-0.00102002483892938,-0.000725072391800974,-0.00085517620476161,7.4230927376906e-05,0.000132251038811315,0,-0.0169647883632413,-0.000195929539804828,1.89260005979686e-06,-0.0010310656919621,-0.0312759166478473,-0.00102173566691155,-0.000130103812960636,5.80201114344092e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,24,0,0,-0.0148152269383882,-0.0336786190681784,-0.014801579023935,-0.032742985707428,-0.000157247578647373,-0.000366120427570548,0.000150561479142761,0.000188444597448198,0.00202363115882223,0.00118361968070121,-0.00969323880346851,-0.0410272690132403,-3.41197861331022e-05,-0.000935633360750421,-0.000705722701830447,-0.000856472863863922,8.45767992665447e-05,0.000137332875092655,0,-0.017941406683493,-0.000208872848923175,3.78831183054373e-05,-0.000840011478121017,-0.0313340302097718,-0.000901513574617319,-0.000150750162033475,5.27560758261103e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,25,0,0,-0.0130910505433846,-0.0326817315920228,-0.0130643341641319,-0.031822744221185,-0.000140202131097313,-0.000356231341548292,0.000127113803887913,0.000193110507490157,0.00185129019889131,0.00118999798364575,-0.00759961763449057,-0.0388115893042635,-6.67909481316675e-05,-0.000858987370837783,-0.000690139989533045,-0.000859788418421381,9.01120020875279e-05,0.000137297202759346,0,-0.0187584100570531,-0.000216029210450979,6.59967036022446e-05,-0.000661292215245565,-0.031211971669773,-0.000792196422706115,-0.000169648428888336,4.71852006718176e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,26,0,0,-0.0115084825049429,-0.0316834186526205,-0.0114692227895243,-0.0308919917473766,-0.000122942339268745,-0.000341975395224046,0.000103709044341663,0.000191684225339286,0.0016862770827831,0.0011899971647417,-0.00572335011084535,-0.0366513024069155,-9.81492885465673e-05,-0.000791426905243919,-0.000676465038589313,-0.000863042196559638,9.19565092112329e-05,0.000133621584624377,0,-0.0194227689578523,-0.000219033055955301,8.79751809976237e-05,-0.000496279918041395,-0.0309279522960701,-0.000693277616697352,-0.000186577157970325,4.16650754131442e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,27,0,0,-0.0100621197698884,-0.0306878859807718,-0.0100105671832906,-0.0299552030183544,-0.000106123106693199,-0.000325422285627255,8.08675465924918e-05,0.000186286531147953,0.00152723028164686,0.00118181920299665,-0.00405303607642749,-0.0345532006437459,-0.000128881466494368,-0.000732682962417353,-0.000663376505137814,-0.000864825108220391,9.12740828797887e-05,0.000127703347641672,0,-0.0199446358350638,-0.000219299178934056,0.000105418984555461,-0.000345411078650215,-0.0305001645673184,-0.000603801495922984,-0.000201448603082577,3.64292647618836e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,28,0,0,-0.00874747315291396,-0.0297013878824466,-0.00868390781909482,-0.0290198322430395,-9.02611843899706e-05,-0.000308184359584122,5.91205915595749e-05,0.000178757632100707,0.00137376720853376,0.00116525573042595,-0.00257794296598313,-0.0325241148972264,-0.000158913334547872,-0.000681555639407083,-0.000650057664315695,-0.000864336415635769,8.90864704563565e-05,0.000120693112567682,0,-0.0203359244239447,-0.000217923175194152,0.000119637040541132,-0.000208511478107812,-0.0299461719312433,-0.000522642304859211,-0.000214278751320074,3.16066421113259e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,29,0,0,-0.00756014951488343,-0.0287307134990101,-0.00748504424900186,-0.028094258414493,-7.57066084644334e-05,-0.00029137399337888,3.89126145731444e-05,0.00017051181571294,0.00122623625260354,0.00114118619914946,-0.00128725813923003,-0.0305698258256459,-0.000187763164703925,-0.000636455084517151,-0.000636104318053277,-0.000861260265242247,8.61843112507366e-05,0.000113430577942886,0,-0.0206092141654911,-0.000215667384914447,0.000131599201139795,-8.50500534540777e-05,-0.0292825676864159,-0.000448691919813227,-0.000225155947188971,2.72462666921491e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,30,0,0,-0.00649528283460732,-0.0277821231532716,-0.00640935733194421,-0.0271863413818748,-6.26490085028708e-05,-0.00027564906754303,2.055419154183e-05,0.000162510710954522,0.00108542087181775,0.00111110105669308,-0.000169655813931247,-0.0286944791233119,-0.000214813756657772,-0.000595781771396742,-0.000621411105789171,-0.000855623517105997,8.31084177250752e-05,0.000106450981577577,0,-0.0207769840499306,-0.000213000059040159,0.000141956519412692,2.56801848753374e-05,-0.0285248233093807,-0.000380968014738969,-0.000234212411316825,2.3342563852502e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,31,0,0,-0.00554722951935943,-0.0268607228121838,-0.00545143153693316,-0.0263025674091432,-5.11441071919302e-05,-0.000261304748519521,4.21277236711814e-06,0.00015531160127541,0.000952266087614867,0.00107671194236317,0.000786851669031474,-0.0269004052028659,-0.000239494956065678,-0.000558155403040606,-0.000606061518827139,-0.000847662567853291,8.0175475747124e-05,0.000100032955283602,0,-0.02085113587221,-0.000210160641327591,0.000151098828908292,0.000124445854748301,-0.0276872568718973,-0.000318660446974928,-0.000241601049026152,1.98574795364781e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,32,0,0,-0.00470949231068357,-0.0259702035767501,-0.00460493826551106,-0.0254476835334647,-4.11486494761477e-05,-0.000248379780579108,-1.00722716435547e-05,0.000149153752157197,0.000827664937032152,0.00103967298759103,0.00159484531433796,-0.0251882220852031,-0.000261385112931278,-0.000522520043285346,-0.000590236104310415,-0.000837714508370335,7.75262420351641e-05,9.42641765206975e-05,0,-0.0208427452679537,-0.000207231131102961,0.000159226023800751,0.000212008050558876,-0.0267830673995411,-0.000261134930354068,-0.00024747840405992,1.67379344855334e-05
