scenario,label,psi_L,ucrit,nu,horizon,u1,u2,u1_dev,u2_dev,pressure1,pressure2,debt_ratio1,debt_ratio2,ds1,ds2,fs1,fs2,ig1,ig2,kg1,kg2,y1,y2,c1,c2,pinf1,pinf2,u_gap,pressure_gap,debt_ratio_gap,ds_gap,fs_gap,ig_gap,kg_gap,y_gap,c_gap,pinf_gap
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,11,0.462772346501588,0.831102961653971,-0.0372276534984122,-0.0188970383460292,-1.09994912543069e-06,-0.0035029764244594,-0.0297746053360448,-0.0210204484931418,-0.000231332525987137,-3.72695896658417e-05,0.000227649728611307,-0.000192766702490313,0.00191449735688912,0.00053251438870465,-0.0426888465743933,-0.0527252595659529,-1.87936567122016e-05,-0.00121136132571609,-0.00112364838785095,-0.0010412274138677,4.72472360852905e-05,8.06751563007246e-05,0.018330615152383,-0.00350187647533397,0.00875415684290306,0.000194062936321296,-0.00042041643110162,-0.00138198296818447,-0.0100364129915596,-0.00119256766900389,8.24209739832549e-05,3.34279202154342e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,12,0.464774365570268,0.831684827651643,-0.0352256344297323,-0.0183151723483569,-1.06320101968697e-06,-0.00341424338361066,-0.0280713930447803,-0.0201405244752569,-0.000212236471022156,-2.8126311226586e-05,0.000158781388176127,-0.00023901164521431,0.00176039664311975,0.000445536587341283,-0.0398612287669136,-0.0509615914894632,-0.000272786247513812,-0.00140673711104533,-0.00109126209560262,-0.00102088604389683,2.44568715910276e-05,6.05911343403154e-05,0.0169104620813754,-0.00341318018259097,0.00793086856952335,0.00018411015979557,-0.000397793033390437,-0.00131486005577847,-0.0111003627225497,-0.00113395086353152,7.03760517057894e-05,3.61342627492878e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,13,0.466671951241371,0.832216908296481,-0.0333280487586286,-0.017783091703519,-1.02663035562144e-06,-0.00333214037364599,-0.0265065206724357,-0.0194526078001916,-0.000213660675624474,-6.6077277184759e-05,0.000137276441062359,-0.000212822917456876,0.00165534497794501,0.000413154311764294,-0.0372093530697954,-0.0492743973904624,-0.00038979583616805,-0.00146867655688954,-0.00103179246854046,-0.000975554981520466,4.42942606886376e-05,8.07294728695229e-05,0.0155449570551096,-0.00333111374329037,0.00705391287224404,0.000147583398439715,-0.000350099358519235,-0.00124219066618071,-0.0120650443206669,-0.00107888072072149,5.62374870199944e-05,3.64352121808853e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,14,0.468492652934897,0.832716872290858,-0.0315073470651026,-0.017283127709142,-9.89872343615545e-07,-0.00325414775314692,-0.0250380803426539,-0.0188848112110099,-0.000219997940401915,-0.000113296138574763,0.000137794208005346,-0.00016173081068166,0.00159435556282587,0.000426462123879617,-0.0346847636802243,-0.0476160753318213,-0.000419493273570604,-0.00144828021151,-0.000970678407014036,-0.000929537307111983,7.73125665478602e-05,0.00011261684222319,0.0142242193559606,-0.0032531578808033,0.00615326913164392,0.000106701801827152,-0.000299525018687005,-0.00116789343894626,-0.012931311651597,-0.0010287869379394,4.11410999020534e-05,3.53042756753297e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,15,0.470260928349521,0.833207741449979,-0.0297390716504793,-0.0167922585500214,-9.52534949022017e-07,-0.00317677003997471,-0.0236282756535424,-0.0183647383858913,-0.000223173183026577,-0.000150676486964081,0.00014332862906917,-0.000113446404703885,0.00155794896076759,0.000464046723673214,-0.032259695627451,-0.0459616267248526,-0.00040745416710275,-0.00139085990825161,-0.000919972607440478,-0.000894023869657423,0.000107157578214556,0.000140623756806235,0.0129468131004579,-0.00317581750502569,0.0052635372676511,7.24966960624959e-05,-0.000256775033773055,-0.00109390223709438,-0.0137019310974016,-0.000983405741148857,2.59487377830547e-05,3.3466178591679e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,16,0.471988581462595,0.833705547582529,-0.028011418537405,-0.016294452417471,-9.14426005151818e-07,-0.00309747844470949,-0.0222553990926099,-0.0178437822025098,-0.000220639831035559,-0.000172552319206855,0.000145324848614112,-7.92844704823326e-05,0.00152744733907335,0.000506369803106449,-0.0299257558976911,-0.044306216253625,-0.000384339343285189,-0.00132616181804424,-0.000882461590073103,-0.000871240945027885,0.000127678874745962,0.000159065763763344,0.011716966119934,-0.00309656401870434,0.00441161689010007,4.8087511828704e-05,-0.000224609319096444,-0.0010210775359669,-0.0143804603559339,-0.000941822474759046,1.12206450452179e-05,3.13868890173818e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,17,0.473675563785016,0.834216724634563,-0.0263244362149844,-0.0157832753654374,-8.7559166984797e-07,-0.00301519003093637,-0.0209132521276602,-0.0172997407525036,-0.000212945698386962,-0.000180609464219073,0.0001412750221257,-6.03378874768773e-05,0.00149086088006194,0.000541046879621448,-0.0276867511201866,-0.0426575139676633,-0.00036574211081819,-0.00126881850095217,-0.0008560874486504,-0.000858825881423386,0.000138779289153401,0.000168101749666194,0.0105411608495469,-0.00301431443926652,0.00361351137515658,3.23362341678886e-05,-0.000201612909602578,-0.000949814000440488,-0.0149707628474767,-0.000903076390133983,-2.73843277298624e-06,2.93224605127929e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,18,0.475314635899619,0.834740210664114,-0.0246853641003806,-0.015259789335886,-8.36258652096561e-07,-0.00293000167160804,-0.0196056949898416,-0.0167297790579003,-0.000201819342957986,-0.000179213154825431,0.000131961564296984,-5.3017031382635e-05,0.00144321925597976,0.000562848885736766,-0.0255513630862021,-0.0410282272327347,-0.000356490726157066,-0.00122291427843613,-0.000837216476181624,-0.000853021874664295,0.000142939150365118,0.000170324667108979,0.00942557476449457,-0.00292916541295594,0.00287591593194135,2.26061881325552e-05,-0.000184978595679619,-0.000880370370242994,-0.0154768641465326,-0.000866423552279061,-1.58053984826712e-05,2.73855167438608e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,19,0.476896116470586,0.835270829333334,-0.023103883529414,-0.0147291706666665,-7.96748937284975e-07,-0.00284269574082856,-0.0183408860284463,-0.0161414963561257,-0.000189024189568938,-0.000172672610047005,0.000119350365714296,-5.27260442897692e-05,0.00138453482248735,0.000571531213615528,-0.0235280441865595,-0.039430990338301,-0.000355551987712199,-0.00118693972230544,-0.000822482212918474,-0.000850449410307874,0.000143024026050709,0.000168629266803944,0.00837471286274755,-0.00284189899189128,0.00219938967232062,1.63515795219334e-05,-0.000172076410004066,-0.000813003608871821,-0.0159029461517415,-0.000831387734593236,-2.79671973894002e-05,2.56052407532348e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,20,0.478411156733894,0.835802168047621,-0.0215888432661065,-0.0141978319523786,-7.57405574465885e-07,-0.00275429744890865,-0.0171271681854261,-0.0155458556101995,-0.000175862892905874,-0.000164102317024663,0.000105363279453777,-5.57012249091104e-05,0.00131739549009963,0.000569403144841385,-0.0216224475917954,-0.037875812435002,-0.000359766068647738,-0.00115747609848116,-0.00080950051485984,-0.00084876620895824,0.00014125855229552,0.000165229596310157,0.00739101131372794,-0.00275354004333418,0.00158131257522659,1.17605758812112e-05,-0.000161064504362887,-0.000747992345258242,-0.0162533648432066,-0.000797710029833421,-3.92656940984004e-05,2.39710440146368e-05
