scenario,label,phi_pi,rho_demand,shock_stderr,horizon,demand,r,yagg,pinfagg,cr1,ch1,nr1,nh1,cr2,ch2,nr2,nh2,ds1,ds2,fs1,fs2,ig1,ig2,kg1,kg2,y1,y2,c1,c2,pinf1,pinf2,ds_gap,fs_gap,ig_gap,kg_gap,y_gap,c_gap,pinf_gap,abs_ds_gap,abs_ig_gap,abs_y_gap,abs_pinf_gap
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,1,-0.0025,-0.00157264595854123,-0.00216710791358754,-0.00164247108255688,-0.000782014309519297,-0.0019019846153675,-0.000747522882245805,0.000232172403146477,-0.000786280266726225,-0.00193008813079587,-0.00076494425923905,0.000235602957032732,0.000675493220748885,0.00167317030508275,-0.00100877373314055,-0.00200253568243723,-0.0005021203464389,-0.00059779883273138,-0.000502120346439039,-0.000597798832731478,-0.00213696701598287,-0.00219724881119221,-0.00111800540127371,-0.00112942262594717,-0.00165047605119362,-0.00163446611392004,0.000997677084333863,-0.000993761949296679,-9.56784862924803e-05,-9.56784862924387e-05,-6.02817952093382e-05,-1.14172246734601e-05,1.60099372735756e-05,0.000997677084333863,9.56784862924803e-05,6.02817952093382e-05,1.60099372735756e-05
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,2,-0.002,-0.00210167215914003,-0.00176096425950323,-0.000968889532472095,-0.000269264417882886,-0.0010819806954071,-0.000578848721174016,0.000132075757175484,-0.00028011519265958,-0.00109357801927601,-0.000578086097939634,0.000133491425068355,-0.000220275540641779,-0.000574691900529492,-5.77288804634313e-05,0.000313959513526363,-0.000520897942530699,-0.000543206063778473,-0.00101046528030846,-0.0011260599256917,-0.00178254130112832,-0.00173938721787825,-0.000513079301140196,-0.000524154040644542,-0.000981245788188478,-0.000956533276755711,-0.000354416359887712,0.000371688393989794,-2.23081212477744e-05,-0.000115594645383243,4.31540832500632e-05,-1.10747395043465e-05,2.47125114327673e-05,0.000354416359887712,2.23081212477744e-05,4.31540832500632e-05,2.47125114327673e-05
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,3,-0.0016,-0.00207586659385517,-0.00121503180468074,-0.000555192467907362,-0.000139089348391797,-0.000678741599092869,-0.000389208446802597,8.28529667925015e-05,-0.000157402992195133,-0.000669635080915887,-0.00036633424823905,8.17413478065299e-05,-0.000604994045742259,-0.0015380830496333,0.000402064103984023,0.00136886303239227,-7.76391816853794e-05,1.37283345231498e-05,-0.00106284282998637,-0.00108418009302635,-0.00130116996334639,-0.00112889364601509,-0.000300985023602096,-0.000311072618811359,-0.000569196366587255,-0.000541188569227469,-0.000933089003891041,0.000966798928408244,9.13675162085292e-05,-2.13372630399888e-05,0.000172276317331299,-1.00875952092627e-05,2.80077973597859e-05,0.000933089003891041,9.13675162085292e-05,0.000172276317331299,2.80077973597859e-05
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,4,-0.00128,-0.00177589735006878,-0.000635286113662814,-0.000299026546635828,-0.000177385872975777,-0.000470783347473858,-0.000199181955393202,5.74678155970398e-05,-0.000202284369182237,-0.000449347063124272,-0.00016126724896906,5.48511205871183e-05,-0.000705823580408468,-0.00178941897682635,0.000585466866544357,0.00171464112284768,0.000600659559291269,0.000791318451385706,-0.000435612199945368,-0.000265757139314982,-0.00077171727153813,-0.000498854955787609,-0.000265405115325135,-0.000276403177364881,-0.000311382867716259,-0.000286670225555397,-0.00108359539641788,0.00112917425630332,0.000190658892094436,0.000169855060630386,0.000272862315750522,-1.09980620397465e-05,2.47126421608623e-05,0.00108359539641788,0.000190658892094436,0.000272862315750522,2.47126421608623e-05
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,5,-0.001024,-0.00137483163398811,-0.000134246666502302,-0.000146999272100268,-0.000263268308925868,-0.000357297275577206,-3.86372030129756e-05,4.36147413802462e-05,-0.000292870488364794,-0.000332904995314687,5.61698238536745e-06,4.06372123923637e-05,-0.000650437928451716,-0.00165413527309478,0.000603579290787457,0.00165892609983161,0.00128641509672141,0.00154583706947688,0.000861693201774649,0.00128672385864492,-0.000300453700049386,3.1960367044892e-05,-0.000291476998921292,-0.000304880840449773,-0.000155825623356698,-0.000138172920843949,-0.00100369734464306,0.00105534680904415,0.000259421972755469,0.000425030656870273,0.000332414067094278,-1.3403841528481e-05,1.76527025127493e-05,0.00100369734464306,0.000259421972755469,0.000332414067094278,1.76527025127493e-05
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,6,-0.000819200000000001,-0.000977285062522038,0.000223176679272186,-6.43071885786384e-05,-0.000334622532250473,-0.000289794747277972,7.45879645644154e-05,3.53748092130346e-05,-0.000366882392815904,-0.000268676856283845,0.00011870238359786,3.27969800014427e-05,-0.000519468824481256,-0.00133760097370216,0.000526354850159533,0.00139789045727916,0.00182100108206558,0.00212195812096208,0.00266115195379601,0.00337651388314075,4.41526257868308e-05,0.000402200732757318,-0.0003211741967587,-0.000337420731856275,-6.92942648737871e-05,-5.93201122834897e-05,-0.0008181321492209,0.000871535607119625,0.000300957038896502,0.000715361929344738,0.000358048106970488,-1.62465350975749e-05,9.97415259029744e-06,0.0008181321492209,0.000300957038896502,0.000358048106970488,9.97415259029744e-06
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,7,-0.000655360000000001,-0.000639375203942416,0.000422001420474549,-2.53641555285622e-05,-0.000366876642084568,-0.000244288666423564,0.000137053919985808,2.98199503228208e-05,-0.000400148982805493,-0.000228858323129244,0.000177773088822733,2.79363915100389e-05,-0.000365146587518004,-0.000970995977208393,0.000402593067315188,0.00106151984482684,0.00212665564763566,0.0024531253153624,0.00472127880258677,0.00574522635142483,0.000240103724088003,0.000603899116861317,-0.000330100249386178,-0.000348761784902618,-2.72640507918975e-05,-2.34642602652269e-05,-0.000605849389690389,0.000658926777511656,0.000326469667726745,0.00102394754883806,0.000363795392773314,-1.86615355164399e-05,3.79979052667068e-06,0.000605849389690389,0.000326469667726745,0.000363795392773314,3.79979052667068e-06
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,8,-0.000524288000000001,-0.00038300144072112,0.000482191189443926,-1.12174511975871e-05,-0.000357924928978348,-0.000209142647411231,0.000155677196841605,2.55297286095579e-05,-0.000391196928661741,-0.000198820645412878,0.000192551107601857,2.42697373405015e-05,-0.000219295613459324,-0.000632005296032164,0.000266160870104129,0.000731521172588817,0.00219265033760326,0.00254069305018409,0.00679589717012519,0.0081422887428233,0.000300496140403617,0.000663886238484013,-0.000313290244508213,-0.000333484043687049,-1.12168112484934e-05,-1.12180911467918e-05,-0.00041270968257284,0.000465360302484688,0.000348042712580834,0.00134639157269811,0.000363390098080396,-2.01937991788359e-05,-1.27989829845632e-09,0.00041270968257284,0.000348042712580834,0.000363390098080396,1.27989829845632e-09
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,9,-0.000419430400000001,-0.000207792716960586,0.000441251876894144,-8.64343054063355e-06,-0.000317161361415463,-0.000179190854449729,0.000142563414495478,2.18735582629415e-05,-0.000350019688216685,-0.000171680825429621,0.000176958941224228,2.09568203086985e-05,-9.84678324577144e-05,-0.000358777019668619,0.000138687278436897,0.00045240692680304,0.00205279980912892,0.00242762039851049,0.00867879955000106,0.0103663519227633,0.000257883753363775,0.000624620000424514,-0.000275770209325787,-0.000296518029380577,-7.86718308032341e-06,-9.41967800083265e-06,-0.000260309187210904,0.000313719648366143,0.000374820589381569,0.00168755237276219,0.000366736247060739,-2.07478200547895e-05,-1.55249492050924e-06,0.000260309187210904,0.000374820589381569,0.000366736247060739,1.55249492050924e-06
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,10,-0.000335544320000001,-0.00010096596604936,0.000340291324813391,-9.33286967619296e-06,-0.000257935726094227,-0.000152585786776016,0.000110780895615281,1.86259176417902e-05,-0.000290379739742996,-0.000145054368870468,0.000144830100490143,1.77065687784472e-05,-8.33937055376172e-06,-0.000161960487213552,3.1867151273221e-05,0.000241365650212891,0.00176338125616186,0.00217492055601717,0.010225210817413,0.0122821136807114,0.000150858179483349,0.000529724470143211,-0.000226330744298786,-0.000246782128481282,-8.55542076372284e-06,-1.01103185886631e-05,-0.00015362111665979,0.00020949849893967,0.00041153929985531,0.0020569028632984,0.000378866290659863,-2.0451384182496e-05,-1.55489782494023e-06,0.00015362111665979,0.00041153929985531,0.000378866290659863,1.55489782494023e-06
