scenario,label,phi_pi,horizon,yagg,pinfagg,r,y1,y2,pinf1,pinf2,y_gap,pinf_gap,abs_y_gap,abs_pinf_gap
hawkish_phi_110,phi_pi = 1.1,1.1,39,7.68836705855591e-06,-4.30216186642074e-06,-4.21563010588599e-06,7.38819825074621e-06,7.98853586614356e-06,-4.33128201005051e-06,-4.27304172279097e-06,6.00337615397351e-07,5.82402872595367e-08,6.00337615397351e-07,5.82402872595367e-08
hawkish_phi_110,phi_pi = 1.1,1.1,40,7.63593337316237e-06,-4.28129572793701e-06,-4.19263598039343e-06,7.13964595311367e-06,8.13222079321108e-06,-4.30052808464421e-06,-4.26206337134083e-06,9.92574840097404e-07,3.84647133033766e-08,9.92574840097404e-07,3.84647133033766e-08
hawkish_phi_150,phi_pi = 1.5,1.5,1,0.00226378368285429,0.000478771793264832,9.54076826447103e-05,0.00223540612844131,0.00229216123726728,0.000477525000367907,0.000480018586161757,5.67551088259677e-05,2.49358579385017e-06,5.67551088259677e-05,2.49358579385017e-06
hawkish_phi_150,phi_pi = 1.5,1.5,2,-5.6368951777741e-05,-0.000182027629893611,5.77175871057101e-05,-5.90794611955436e-05,-5.36584423599384e-05,-0.000180486370899957,-0.000183568888887375,5.4210188356052e-06,-3.08251798741832e-06,5.4210188356052e-06,3.08251798741832e-06
hawkish_phi_150,phi_pi = 1.5,1.5,3,-8.20979040517811e-05,-0.000135871169193669,3.05300158500721e-05,-7.24366510822527e-05,-9.17591570211984e-05,-0.000134059373772866,-0.000137682964614583,-1.93225059389457e-05,-3.62359084171704e-06,1.93225059389457e-05,3.62359084171704e-06
hawkish_phi_150,phi_pi = 1.5,1.5,4,-0.000102964419623985,-9.83548224622321e-05,1.15347237947816e-05,-8.88024626292117e-05,-0.00011712637661887,-9.71681226303867e-05,-9.95415222939666e-05,-2.83239139896585e-05,-2.37339966357997e-06,2.83239139896585e-05,2.37339966357997e-06
hawkish_phi_150,phi_pi = 1.5,1.5,5,-0.00010742586335355,-6.63483192835379e-05,-7.56633964593689e-07,-9.32218403214558e-05,-0.000121629886385644,-6.59271075010848e-05,-6.676953106588e-05,-2.84080460641878e-05,-8.42423564795247e-07,2.84080460641878e-05,8.42423564795247e-07
hawkish_phi_150,phi_pi = 1.5,1.5,6,-9.6628715415159e-05,-3.99664704890945e-05,-7.71254403031385e-06,-8.45385846613977e-05,-0.000108718846169031,-4.01367063139757e-05,-3.97962346641023e-05,-2.41802615076336e-05,3.40471649873386e-07,2.41802615076336e-05,3.40471649873386e-07
hawkish_phi_150,phi_pi = 1.5,1.5,7,-7.60766261428403e-05,-1.9724359850315e-05,-1.06982797676292e-05,-6.67247339526389e-05,-8.54285183330417e-05,-2.02254570673688e-05,-1.92232626332611e-05,-1.87037843804028e-05,1.00219443410765e-06,1.87037843804028e-05,1.00219443410765e-06
hawkish_phi_150,phi_pi = 1.5,1.5,8,-5.16733477977649e-05,-5.6080222842203e-06,-1.10001051449871e-05,-4.47560500768107e-05,-5.85906455187191e-05,-6.20491693092973e-06,-5.0111276376219e-06,-1.38345954419083e-05,1.19378929330782e-06,1.38345954419083e-05,1.19378929330782e-06
