scenario,label,output_ratio,s1,s2,metric,horizon,developed_irf,less_developed_irf,diff_irf
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,24,0.000150561479142761,0.000188444597448198,3.78831183054373e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,25,0.000127113803887913,0.000193110507490157,6.59967036022446e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,26,0.000103709044341663,0.000191684225339286,8.79751809976237e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,27,8.08675465924918e-05,0.000186286531147953,0.000105418984555461
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,28,5.91205915595749e-05,0.000178757632100707,0.000119637040541132
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,29,3.89126145731444e-05,0.00017051181571294,0.000131599201139795
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,30,2.055419154183e-05,0.000162510710954522,0.000141956519412692
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,31,4.21277236711814e-06,0.00015531160127541,0.000151098828908292
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,32,-1.00722716435547e-05,0.000149153752157197,0.000159226023800751
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,33,-2.23619622932714e-05,0.000144055044635105,0.000166417006928377
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,34,-3.27862817275926e-05,0.000139900840801885,0.000172687122529477
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,35,-4.15149008572008e-05,0.000136515409141641,0.000178030309998842
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,36,-4.87333203980506e-05,0.000133712670352587,0.000182445990750638
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,37,-5.46256064062473e-05,0.000131327338337137,0.000185952944743384
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,38,-5.93634890559414e-05,0.000129229948213502,0.000188593437269444
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,39,-6.31007805440564e-05,0.000127330194478983,0.00019043097502304
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,40,-6.59717331973619e-05,0.000125572911060315,0.000191544644257677
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,1,-0.00534815634845821,-0.00694081602022116,-0.00159265967176295
